PID,Player,Span,Mat,Inns,Balls,Runs,Wkts,Bbm,Ave,Econ,Sr,5s,10s,Ct,St,Country,Format
1519,B Andrews,1973-1974,2,3,256,154,2,2/54,77.00,3.60,128.0,0,0,1,0,Newzealand,Test
1520,BJ Arnel,2010-2012,6,11,1008,566,9,4/95,62.88,3.36,112.0,0,0,3,0,Newzealand,Test
1521,NJ Astle,1996-2006,81,94,5688,2143,51,6/62,42.01,2.26,111.5,0,0,70,0,Newzealand,Test
1522,TD Astle,2012-2016,2,3,210,109,1,1/97,109.00,3.11,210.0,0,0,2,0,Newzealand,Test
1523,FT Badcock,1930-1933,7,9,1608,610,16,5/102,38.12,2.27,100.5,0,0,1,0,Newzealand,Test
1524,RT Barber,1956-1956,1,0,0,0,0,0,0,0,0,0,0,1,0,Newzealand,Test
1525,GA Bartlett,1961-1968,10,18,1768,792,24,6/90,33.00,2.68,73.6,1,0,8,0,Newzealand,Test
1526,PT Barton,1961-1963,7,0,0,0,0,0,0,0,0,0,0,4,0,Newzealand,Test
1527,DD Beard,1952-1956,4,7,806,302,9,4/42,33.55,2.24,89.5,0,0,2,0,Newzealand,Test
1528,JEF Beck,1953-1956,8,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1529,MD Bell,1998-2008,18,0,0,0,0,0,0,0,0,0,0,19,0,Newzealand,Test
1530,W Bell,1954-1954,2,4,491,235,2,2/136,117.50,2.87,245.5,0,0,1,0,Newzealand,Test
1531,HK Bennett,2010-2010,1,1,90,47,0,0,0,3.13,0,0,0,0,0,Newzealand,Test
1532,GP Bilby,1966-1966,2,0,0,0,0,0,0,0,0,0,0,3,0,Newzealand,Test
1533,TE Blain,1986-1994,11,0,0,0,0,0,0,0,0,0,0,19,2,Newzealand,Test
1534,RW Blair,1953-1964,19,28,3525,1515,43,7/142,35.23,2.57,81.9,0,0,5,0,Newzealand,Test
1535,TA Blundell,2017-2017,2,0,0,0,0,0,0,0,0,0,0,2,0,Newzealand,Test
1536,RC Blunt,1930-1932,9,14,936,472,12,5/34,39.33,3.02,78.0,0,0,5,0,Newzealand,Test
1537,BA Bolton,1959-1959,2,0,0,0,0,0,0,0,0,0,0,1,0,Newzealand,Test
1538,SE Bond,2001-2009,18,32,3372,1922,87,10/99,22.09,3.41,38.7,5,1,8,0,Newzealand,Test
1539,SL Boock,1978-1989,30,48,6598,2564,74,8/156,34.64,2.33,89.1,4,0,14,0,Newzealand,Test
1540,TA Boult,2011-2017,52,98,11496,5712,200,10/80,28.56,2.98,57.4,5,1,27,0,Newzealand,Test
1541,BP Bracewell,1978-1985,6,11,1036,585,14,4/129,41.78,3.38,74.0,0,0,1,0,Newzealand,Test
1542,DAJ Bracewell,2011-2016,27,49,4984,2796,72,9/60,38.83,3.36,69.2,2,0,10,0,Newzealand,Test
1543,JG Bracewell,1980-1990,41,67,8403,3653,102,10/106,35.81,2.60,82.3,4,1,31,0,Newzealand,Test
1544,GE Bradburn,1990-2001,7,7,867,460,6,3/142,76.66,3.18,144.5,0,0,6,0,Newzealand,Test
1545,WP Bradburn,1964-1964,2,0,0,0,0,0,0,0,0,0,0,2,0,Newzealand,Test
1546,NT Broom,2017-2017,2,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1547,VR Brown,1985-1985,2,4,342,176,1,1/113,176.00,3.08,342.0,0,0,3,0,Newzealand,Test
1548,DG Brownlie,2011-2013,14,5,66,52,1,1/15,52.00,4.72,66.0,0,0,17,0,Newzealand,Test
1549,MG Burgess,1968-1980,50,15,498,212,6,4/41,35.33,2.55,83.0,0,0,34,0,Newzealand,Test
1550,C Burke,1946-1946,1,1,66,30,2,2/30,15.00,2.72,33.0,0,0,0,0,Newzealand,Test
1551,TB Burtt,1947-1953,10,14,2593,1170,33,7/106,35.45,2.70,78.5,3,0,2,0,Newzealand,Test
1552,IG Butler,2002-2004,8,14,1368,884,24,7/146,36.83,3.87,57.0,1,0,4,0,Newzealand,Test
1553,LA Butterfield,1946-1946,1,1,78,24,0,0,0,1.84,0,0,0,0,0,Newzealand,Test
1554,BL Cairns,1974-1985,43,72,10628,4280,130,10/144,32.92,2.41,81.7,6,1,30,0,Newzealand,Test
1555,CL Cairns,1989-2004,62,104,11698,6410,218,10/100,29.40,3.28,53.6,13,1,14,0,Newzealand,Test
1556,FJ Cameron,1961-1965,19,35,4570,1849,62,9/70,29.82,2.42,73.7,3,0,2,0,Newzealand,Test
1557,HB Cave,1949-1958,19,25,4074,1467,34,8/43,43.14,2.16,119.8,0,0,8,0,Newzealand,Test
1558,ME Chapple,1953-1966,14,5,248,84,1,1/24,84.00,2.03,248.0,0,0,10,0,Newzealand,Test
1559,EJ Chatfield,1975-1989,43,73,10360,3958,123,10/124,32.17,2.29,84.2,3,1,7,0,Newzealand,Test
1560,DC Cleverley,1932-1946,2,2,222,130,0,0,0,3.51,0,0,0,0,0,Newzealand,Test
1561,RO Collinge,1965-1978,35,62,7689,3393,116,9/166,29.25,2.64,66.2,3,0,10,0,Newzealand,Test
1562,IA Colquhoun,1955-1955,2,0,0,0,0,0,0,0,0,0,0,4,0,Newzealand,Test
1563,JV Coney,1974-1987,52,53,2835,966,27,4/51,35.77,2.04,105.0,0,0,64,0,Newzealand,Test
1564,BE Congdon,1965-1978,61,66,5620,2154,59,5/65,36.50,2.29,95.2,1,0,44,0,Newzealand,Test
1565,J Cowie,1937-1949,9,13,2028,969,45,10/140,21.53,2.86,45.0,4,1,3,0,Newzealand,Test
1566,MD Craig,2014-2016,15,29,3669,2326,50,10/203,46.52,3.80,73.3,1,1,14,0,Newzealand,Test
1567,GF Cresswell,1949-1951,3,4,650,292,13,6/168,22.46,2.69,50.0,1,0,0,0,Newzealand,Test
1568,IB Cromb,1931-1932,5,7,960,442,8,5/157,55.25,2.76,120.0,0,0,1,0,Newzealand,Test
1569,JJ Crowe,1983-1990,39,2,18,9,0,0,0,3.00,0,0,0,41,0,Newzealand,Test
1570,MD Crowe,1982-1995,77,35,1377,676,14,3/107,48.28,2.94,98.3,0,0,71,0,Newzealand,Test
1571,CD Cumming,2005-2008,11,0,0,0,0,0,0,0,0,0,0,3,0,Newzealand,Test
1572,RS Cunis,1964-1972,20,38,4250,1887,51,9/128,37.00,2.66,83.3,1,0,1,0,Newzealand,Test
1573,JW D'Arcy,1958-1958,5,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1574,HT Davis,1994-1997,5,9,1010,499,17,6/98,29.35,2.96,59.4,1,0,4,0,Newzealand,Test
1575,C de Grandhomme,2016-2017,8,15,1217,522,20,7/64,26.10,2.57,60.8,1,0,8,0,Newzealand,Test
1576,RP de Groen,1993-1994,5,7,1060,505,11,5/88,45.90,2.85,96.3,0,0,0,0,Newzealand,Test
1577,CS Dempster,1930-1933,10,1,5,10,0,0,0,12.00,0,0,0,2,0,Newzealand,Test
1578,EW Dempster,1953-1954,5,6,544,219,2,1/43,109.50,2.41,272.0,0,0,1,0,Newzealand,Test
1579,AE Dick,1961-1965,17,0,0,0,0,0,0,0,0,0,0,47,4,Newzealand,Test
1580,GR Dickinson,1930-1932,3,6,451,245,8,4/90,30.62,3.25,56.3,0,0,3,0,Newzealand,Test
1581,MP Donnelly,1937-1949,7,1,30,20,0,0,0,4.00,0,0,0,7,0,Newzealand,Test
1582,SB Doull,1992-2000,32,51,6053,2872,98,9/114,29.30,2.84,61.7,6,0,16,0,Newzealand,Test
1583,GT Dowling,1961-1972,39,1,36,19,1,1/19,19.00,3.16,36.0,0,0,23,0,Newzealand,Test
1584,CJ Drum,2001-2002,5,9,806,482,16,5/166,30.12,3.58,50.3,0,0,4,0,Newzealand,Test
1585,JA Dunning,1933-1937,4,7,830,493,5,2/119,98.60,3.56,166.0,0,0,2,0,Newzealand,Test
1586,BA Edgar,1978-1986,39,1,18,3,0,0,0,1.00,0,0,0,14,0,Newzealand,Test
1587,GN Edwards,1977-1981,8,0,0,0,0,0,0,0,0,0,0,7,0,Newzealand,Test
1588,GD Elliott,2008-2009,5,6,282,140,4,2/8,35.00,2.97,70.5,0,0,2,0,Newzealand,Test
1589,RWG Emery,1952-1952,2,1,46,52,2,2/52,26.00,6.78,23.0,0,0,0,0,Newzealand,Test
1590,FE Fisher,1953-1953,1,1,204,78,1,1/78,78.00,2.29,204.0,0,0,0,0,Newzealand,Test
1591,SP Fleming,1994-2008,111,0,0,0,0,0,0,0,0,0,0,171,0,Newzealand,Test
1592,DR Flynn,2008-2013,24,1,6,0,0,0,0,0.00,0,0,0,10,0,Newzealand,Test
1593,H Foley,1930-1930,1,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1594,JEC Franklin,2001-2013,31,54,4767,2786,82,7/117,33.97,3.50,58.1,3,0,12,0,Newzealand,Test
1595,TJ Franklin,1983-1991,21,0,0,0,0,0,0,0,0,0,0,8,0,Newzealand,Test
1596,DL Freeman,1933-1933,2,2,240,169,1,1/91,169.00,4.22,240.0,0,0,0,0,Newzealand,Test
1597,PG Fulton,2006-2014,23,0,0,0,0,0,0,0,0,0,0,25,0,Newzealand,Test
1598,N Gallichan,1937-1937,1,2,264,113,3,3/113,37.66,2.56,88.0,0,0,0,0,Newzealand,Test
1599,SG Gedye,1964-1965,4,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1600,LK Germon,1995-1997,12,0,0,0,0,0,0,0,0,0,0,27,2,Newzealand,Test
1601,MR Gillespie,2007-2012,5,8,868,631,22,6/142,28.68,4.36,39.4,3,0,1,0,Newzealand,Test
1602,SR Gillespie,1986-1986,1,1,162,79,1,1/79,79.00,2.92,162.0,0,0,0,0,Newzealand,Test
1603,EJ Gray,1983-1988,10,16,2076,886,17,4/64,52.11,2.56,122.1,0,0,6,0,Newzealand,Test
1604,MJ Greatbatch,1988-1996,41,1,6,0,0,0,0,0.00,0,0,0,27,0,Newzealand,Test
1605,SC Guillen,1956-1956,3,0,0,0,0,0,0,0,0,0,0,4,1,Newzealand,Test
1606,MJ Guptill,2009-2016,47,18,428,298,8,3/11,37.25,4.17,53.5,0,0,50,0,Newzealand,Test
1607,JW Guy,1955-1961,12,0,0,0,0,0,0,0,0,0,0,2,0,Newzealand,Test
1608,DR Hadlee,1969-1978,26,44,4883,2389,71,7/61,33.64,2.93,68.7,0,0,8,0,Newzealand,Test
1609,Sir RJ Hadlee,1973-1990,86,150,21918,9611,431,15/123,22.29,2.63,50.8,36,9,39,0,Newzealand,Test
1610,WA Hadlee,1937-1951,11,0,0,0,0,0,0,0,0,0,0,6,0,Newzealand,Test
1611,NS Harford,1955-1958,8,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1612,RI Harford,1968-1968,3,0,0,0,0,0,0,0,0,0,0,11,0,Newzealand,Test
1613,CZ Harris,1992-2002,23,29,2560,1170,16,3/117,73.12,2.74,160.0,0,0,14,0,Newzealand,Test
1614,PGZ Harris,1955-1965,9,1,42,14,0,0,0,2.00,0,0,0,6,0,Newzealand,Test
1615,RM Harris,1959-1959,2,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1616,MN Hart,1994-1995,14,22,3086,1438,29,8/134,49.58,2.79,106.4,1,0,9,0,Newzealand,Test
1617,RG Hart,2002-2003,11,0,0,0,0,0,0,0,0,0,0,29,1,Newzealand,Test
1618,BR Hartland,1992-1994,9,0,0,0,0,0,0,0,0,0,0,5,0,Newzealand,Test
1619,MJ Haslam,1992-1995,4,5,493,245,2,1/33,122.50,2.98,246.5,0,0,2,0,Newzealand,Test
1620,BF Hastings,1969-1976,31,2,22,9,0,0,0,2.45,0,0,0,23,0,Newzealand,Test
1621,JA Hayes,1951-1958,15,19,2675,1217,30,4/36,40.56,2.72,89.1,0,0,3,0,Newzealand,Test
1622,M Henderson,1930-1930,1,2,90,64,2,2/64,32.00,4.26,45.0,0,0,1,0,Newzealand,Test
1623,MJ Henry,2015-2017,9,18,2155,1163,25,6/105,46.52,3.23,86.2,0,0,5,0,Newzealand,Test
1624,GJ Hopkins,2008-2010,4,0,0,0,0,0,0,0,0,0,0,9,0,Newzealand,Test
1625,MJ Horne,1997-2003,35,3,66,26,0,0,0,2.36,0,0,0,17,0,Newzealand,Test
1626,PA Horne,1987-1990,4,0,0,0,0,0,0,0,0,0,0,3,0,Newzealand,Test
1627,KW Hough,1959-1959,2,2,462,175,6,3/79,29.16,2.27,77.0,0,0,1,0,Newzealand,Test
1628,JM How,2006-2009,19,2,12,4,0,0,0,2.00,0,0,0,18,0,Newzealand,Test
1629,GP Howarth,1975-1985,47,20,614,271,3,1/13,90.33,2.64,204.6,0,0,29,0,Newzealand,Test
1630,HJ Howarth,1969-1977,30,50,8833,3178,86,9/100,36.95,2.15,102.7,2,0,33,0,Newzealand,Test
1631,PJ Ingram,2010-2010,2,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1632,KC James,1930-1933,11,0,0,0,0,0,0,0,0,0,0,11,5,Newzealand,Test
1633,TW Jarvis,1965-1973,13,2,12,3,0,0,0,1.50,0,0,0,3,0,Newzealand,Test
1634,AH Jones,1987-1995,39,14,328,194,1,1/40,194.00,3.54,328.0,0,0,25,0,Newzealand,Test
1635,RA Jones,2003-2003,1,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1636,RJ Kennedy,1996-1996,4,8,636,380,6,3/47,63.33,3.58,106.0,0,0,2,0,Newzealand,Test
1637,JL Kerr,1931-1937,7,0,0,0,0,0,0,0,0,0,0,4,0,Newzealand,Test
1638,CM Kuggeleijn,1988-1988,2,3,97,67,1,1/50,67.00,4.14,97.0,0,0,1,0,Newzealand,Test
1639,GR Larsen,1994-1996,8,14,1967,689,24,5/88,28.70,2.10,81.9,0,0,5,0,Newzealand,Test
1640,RT Latham,1992-1993,4,1,18,6,0,0,0,2.00,0,0,0,5,0,Newzealand,Test
1641,TWM Latham,2014-2017,34,0,0,0,0,0,0,0,0,0,0,35,0,Newzealand,Test
1642,WK Lees,1976-1983,21,1,5,4,0,0,0,4.80,0,0,0,52,7,Newzealand,Test
1643,IB Leggat,1954-1954,1,1,24,6,0,0,0,1.50,0,0,0,2,0,Newzealand,Test
1644,JG Leggat,1952-1956,9,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1645,AF Lissette,1956-1956,2,2,288,124,3,2/73,41.33,2.58,96.0,0,0,1,0,Newzealand,Test
1646,GR Loveridge,1996-1996,1,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1647,TC Lowry,1930-1931,7,2,12,5,0,0,0,2.50,0,0,0,8,0,Newzealand,Test
1648,BB McCullum,2004-2016,101,8,175,88,1,1/13,88.00,3.01,175.0,0,0,198,11,Newzealand,Test
1649,PE McEwan,1980-1984,4,2,36,13,0,0,0,2.16,0,0,0,5,0,Newzealand,Test
1650,AR MacGibbon,1951-1958,26,37,5659,2160,70,8/105,30.85,2.29,80.8,1,0,13,0,Newzealand,Test
1651,HM McGirr,1930-1930,2,3,180,115,1,1/69,115.00,3.83,180.0,0,0,0,0,Newzealand,Test
1652,SN McGregor,1955-1965,25,0,0,0,0,0,0,0,0,0,0,9,0,Newzealand,Test
1653,TG McIntosh,2008-2011,17,0,0,0,0,0,0,0,0,0,0,10,0,Newzealand,Test
1654,AJ McKay,2010-2010,1,1,186,120,1,1/120,120.00,3.87,186.0,0,0,0,0,Newzealand,Test
1655,EG McLeod,1930-1930,1,1,12,5,0,0,0,2.50,0,0,0,0,0,Newzealand,Test
1656,TG McMahon,1955-1956,5,0,0,0,0,0,0,0,0,0,0,7,1,Newzealand,Test
1657,CD McMillan,1997-2005,55,50,2502,1257,28,3/48,44.89,3.01,89.3,0,0,22,0,Newzealand,Test
1658,DAN McRae,1946-1946,1,1,84,44,0,0,0,3.14,0,0,0,0,0,Newzealand,Test
1659,HJH Marshall,2000-2006,13,1,6,4,0,0,0,4.00,0,0,0,1,0,Newzealand,Test
1660,JAH Marshall,2005-2008,7,0,0,0,0,0,0,0,0,0,0,5,0,Newzealand,Test
1661,BP Martin,2013-2013,5,9,1518,646,12,5/133,53.83,2.55,126.5,0,0,0,0,Newzealand,Test
1662,CS Martin,2000-2013,71,126,14026,7878,233,11/180,33.81,3.37,60.1,10,1,14,0,Newzealand,Test
1663,MJ Mason,2004-2004,1,2,132,105,0,0,0,4.77,0,0,0,0,0,Newzealand,Test
1664,AM Matheson,1930-1931,2,3,282,136,2,2/96,68.00,2.89,141.0,0,0,2,0,Newzealand,Test
1665,T Meale,1958-1958,2,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1666,WE Merritt,1930-1931,6,9,936,617,12,4/106,51.41,3.95,78.0,0,0,2,0,Newzealand,Test
1667,EM Meuli,1953-1953,1,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1668,BD Milburn,1969-1969,3,0,0,0,0,0,0,0,0,0,0,6,2,Newzealand,Test
1669,LSM Miller,1953-1958,13,1,2,1,0,0,0,3.00,0,0,0,1,0,Newzealand,Test
1670,JE Mills,1930-1933,7,0,0,0,0,0,0,0,0,0,0,1,0,Newzealand,Test
1671,KD Mills,2004-2009,19,31,2902,1453,44,6/77,33.02,3.00,65.9,0,0,4,0,Newzealand,Test
1672,AM Moir,1951-1959,17,19,2650,1418,28,6/155,50.64,3.21,94.6,2,0,2,0,Newzealand,Test
1673,DAR Moloney,1937-1937,3,1,12,9,0,0,0,4.50,0,0,0,3,0,Newzealand,Test
1674,FLH Mooney,1949-1954,14,1,8,0,0,0,0,0.00,0,0,0,22,8,Newzealand,Test
1675,RW Morgan,1965-1972,20,20,1114,609,5,1/16,121.80,3.28,222.8,0,0,12,0,Newzealand,Test
1676,BD Morrison,1963-1963,1,1,186,129,2,2/129,64.50,4.16,93.0,0,0,1,0,Newzealand,Test
1677,DK Morrison,1987-1997,48,76,10064,5549,160,8/83,34.68,3.30,62.9,10,0,14,0,Newzealand,Test
1678,JFM Morrison,1973-1982,17,5,264,71,2,2/52,35.50,1.61,132.0,0,0,9,0,Newzealand,Test
1679,RC Motz,1961-1969,32,55,7034,3148,100,8/113,31.48,2.68,70.3,5,0,9,0,Newzealand,Test
1680,C Munro,2013-2013,1,1,108,40,2,2/40,20.00,2.22,54.0,0,0,0,0,Newzealand,Test
1681,BAG Murray,1968-1971,13,1,6,0,1,1/0,0.00,0.00,6.0,0,0,21,0,Newzealand,Test
1682,DJ Murray,1994-1995,8,0,0,0,0,0,0,0,0,0,0,6,0,Newzealand,Test
1683,DJ Nash,1992-2001,32,53,6196,2649,93,11/169,28.48,2.56,66.6,3,1,13,0,Newzealand,Test
1684,JDS Neesham,2014-2017,12,21,1076,675,14,3/42,48.21,3.76,76.8,0,0,12,0,Newzealand,Test
1685,J Newman,1932-1933,3,3,425,254,2,2/76,127.00,3.58,212.5,0,0,0,0,Newzealand,Test
1686,HM Nicholls,2016-2017,16,0,0,0,0,0,0,0,0,0,0,10,0,Newzealand,Test
1687,RJ Nicol,2012-2012,2,3,17,13,0,0,0,4.58,0,0,0,2,0,Newzealand,Test
1688,IE O'Brien,2005-2009,22,37,4394,2429,73,7/165,33.27,3.31,60.1,1,0,7,0,Newzealand,Test
1689,SB O'Connor,1997-2001,19,34,3667,1724,53,7/104,32.52,2.82,69.1,1,0,6,0,Newzealand,Test
1690,JDP Oram,2002-2009,33,55,4964,1983,60,6/63,33.05,2.39,82.7,0,0,15,0,Newzealand,Test
1691,DR O'Sullivan,1973-1976,11,15,2744,1224,18,5/148,68.00,2.67,152.4,1,0,2,0,Newzealand,Test
1692,GWF Overton,1953-1954,3,4,729,258,9,4/101,28.66,2.12,81.0,0,0,1,0,Newzealand,Test
1693,MB Owens,1992-1994,8,12,1074,585,17,5/137,34.41,3.26,63.1,0,0,3,0,Newzealand,Test
1694,ML Page,1930-1937,14,12,379,231,5,2/21,46.20,3.65,75.8,0,0,6,0,Newzealand,Test
1695,MHW Papps,2004-2007,8,0,0,0,0,0,0,0,0,0,0,11,0,Newzealand,Test
1696,JM Parker,1973-1980,36,1,40,24,1,1/24,24.00,3.60,40.0,0,0,30,0,Newzealand,Test
1697,NM Parker,1976-1976,3,0,0,0,0,0,0,0,0,0,0,2,0,Newzealand,Test
1698,AC Parore,1990-2002,78,0,0,0,0,0,0,0,0,0,0,197,7,Newzealand,Test
1699,DN Patel,1987-1997,37,53,6594,3154,75,8/131,42.05,2.86,87.9,3,0,15,0,Newzealand,Test
1700,JS Patel,2006-2017,24,42,5833,3078,65,6/151,47.35,3.16,89.7,1,0,13,0,Newzealand,Test
1701,PJ Petherick,1976-1977,6,10,1305,681,16,5/129,42.56,3.13,81.5,0,0,4,0,Newzealand,Test
1702,EC Petrie,1955-1966,14,0,0,0,0,0,0,0,0,0,0,25,0,Newzealand,Test
1703,WR Playle,1958-1963,8,0,0,0,0,0,0,0,0,0,0,4,0,Newzealand,Test
1704,BA Pocock,1993-1997,15,2,24,20,0,0,0,5.00,0,0,0,5,0,Newzealand,Test
1705,V Pollard,1965-1973,32,49,4421,1853,40,5/57,46.32,2.51,110.5,0,0,19,0,Newzealand,Test
1706,MB Poore,1953-1956,14,11,788,367,9,4/71,40.77,2.79,87.5,0,0,1,0,Newzealand,Test
1707,MW Priest,1990-1998,3,5,377,158,3,2/77,52.66,2.51,125.6,0,0,0,0,Newzealand,Test
1708,C Pringle,1990-1995,14,22,2985,1389,30,11/152,46.30,2.79,99.5,1,1,3,0,Newzealand,Test
1709,N Puna,1966-1966,3,5,480,240,4,2/40,60.00,3.00,120.0,0,0,1,0,Newzealand,Test
1710,GO Rabone,1949-1955,12,14,1385,635,16,7/84,39.68,2.75,86.5,1,0,5,0,Newzealand,Test
1711,JA Raval,2016-2017,9,0,0,0,0,0,0,0,0,0,0,13,0,Newzealand,Test
1712,AJ Redmond,2008-2013,8,5,105,80,3,2/47,26.66,4.57,35.0,0,0,5,0,Newzealand,Test
1713,RE Redmond,1973-1973,1,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1714,JF Reid,1979-1986,19,2,18,7,0,0,0,2.33,0,0,0,9,0,Newzealand,Test
1715,JR Reid,1949-1965,58,72,7725,2835,85,6/60,33.35,2.20,90.8,1,0,43,1,Newzealand,Test
1716,MH Richardson,2000-2004,38,3,66,21,1,1/16,21.00,1.90,66.0,0,0,26,0,Newzealand,Test
1717,ADG Roberts,1976-1976,7,8,440,182,4,1/12,45.50,2.48,110.0,0,0,4,0,Newzealand,Test
1718,AW Roberts,1930-1937,5,4,459,209,7,6/174,29.85,2.73,65.5,0,0,4,0,Newzealand,Test
1719,GK Robertson,1986-1986,1,1,144,91,1,1/91,91.00,3.79,144.0,0,0,0,0,Newzealand,Test
1720,L Ronchi,2015-2016,4,0,0,0,0,0,0,0,0,0,0,5,0,Newzealand,Test
1721,CG Rowe,1946-1946,1,0,0,0,0,0,0,0,0,0,0,1,0,Newzealand,Test
1722,HD Rutherford,2013-2015,16,1,6,2,0,0,0,2.00,0,0,0,11,0,Newzealand,Test
1723,KR Rutherford,1985-1995,56,11,256,161,1,1/38,161.00,3.77,256.0,0,0,32,0,Newzealand,Test
1724,JD Ryder,2008-2011,18,15,492,280,5,2/15,56.00,3.41,98.4,0,0,12,0,Newzealand,Test
1725,MJ Santner,2015-2017,17,27,2702,1260,34,5/173,37.05,2.79,79.4,0,0,7,0,Newzealand,Test
1726,RH Scott,1947-1947,1,1,138,74,1,1/74,74.00,3.21,138.0,0,0,0,0,Newzealand,Test
1727,VJ Scott,1946-1952,10,2,18,14,0,0,0,4.66,0,0,0,7,0,Newzealand,Test
1728,DG Sewell,1997-1997,1,2,138,90,0,0,0,3.91,0,0,0,0,0,Newzealand,Test
1729,MJF Shrimpton,1963-1974,10,6,257,158,5,3/56,31.60,3.68,51.4,0,0,2,0,Newzealand,Test
1730,BW Sinclair,1963-1968,21,1,60,32,2,2/32,16.00,3.20,30.0,0,0,8,0,Newzealand,Test
1731,IM Sinclair,1956-1956,2,2,233,120,1,1/79,120.00,3.09,233.0,0,0,1,0,Newzealand,Test
1732,MS Sinclair,1999-2010,33,2,42,14,0,0,0,2.00,0,0,0,31,0,Newzealand,Test
1733,FB Smith,1947-1952,4,0,0,0,0,0,0,0,0,0,0,1,0,Newzealand,Test
1734,HD Smith,1933-1933,1,1,120,113,1,1/113,113.00,5.65,120.0,0,0,0,0,Newzealand,Test
1735,IDS Smith,1980-1992,63,1,18,5,0,0,0,1.66,0,0,0,168,8,Newzealand,Test
1736,CA Snedden,1947-1947,1,1,96,46,0,0,0,2.87,0,0,0,0,0,Newzealand,Test
1737,MC Snedden,1981-1990,25,41,4775,2199,58,5/77,37.91,2.76,82.3,1,0,7,0,Newzealand,Test
1738,IS Sodhi,2013-2016,14,26,2826,1774,38,7/79,46.68,3.76,74.3,0,0,8,0,Newzealand,Test
1739,TG Southee,2008-2017,58,107,12848,6543,208,10/108,31.45,3.05,61.7,6,1,36,0,Newzealand,Test
1740,JT Sparling,1958-1964,11,10,708,327,5,1/9,65.40,2.77,141.6,0,0,3,0,Newzealand,Test
1741,CM Spearman,1995-2000,19,0,0,0,0,0,0,0,0,0,0,21,0,Newzealand,Test
1742,GR Stead,1999-1999,5,1,6,1,0,0,0,1.00,0,0,0,2,0,Newzealand,Test
1743,DA Stirling,1984-1986,6,10,902,601,13,5/170,46.23,3.99,69.3,0,0,1,0,Newzealand,Test
1744,SB Styris,2002-2007,29,36,1960,1015,20,3/44,50.75,3.10,98.0,0,0,23,0,Newzealand,Test
1745,ML Su'a,1992-1995,13,22,2843,1377,36,7/120,38.25,2.90,78.9,2,0,8,0,Newzealand,Test
1746,B Sutcliffe,1947-1965,42,20,538,344,4,2/38,86.00,3.83,134.5,0,0,20,0,Newzealand,Test
1747,BR Taylor,1965-1973,30,53,6334,2953,111,9/182,26.60,2.79,57.0,4,0,10,0,Newzealand,Test
1748,DD Taylor,1947-1956,3,0,0,0,0,0,0,0,0,0,0,2,0,Newzealand,Test
1749,LRPL Taylor,2007-2017,83,7,96,48,2,2/4,24.00,3.00,48.0,0,0,125,0,Newzealand,Test
1750,K Thomson,1968-1968,2,1,21,9,1,1/9,9.00,2.57,21.0,0,0,0,0,Newzealand,Test
1751,SA Thomson,1990-1995,19,26,1990,953,19,4/98,50.15,2.87,104.7,0,0,7,0,Newzealand,Test
1752,EWT Tindill,1937-1947,5,0,0,0,0,0,0,0,0,0,0,6,1,Newzealand,Test
1753,GB Troup,1976-1986,15,26,3183,1454,39,10/166,37.28,2.74,81.6,1,1,2,0,Newzealand,Test
1754,PB Truscott,1965-1965,1,0,0,0,0,0,0,0,0,0,0,1,0,Newzealand,Test
1755,DR Tuffey,2000-2010,26,45,4877,2445,77,9/116,31.75,3.00,63.3,2,0,15,0,Newzealand,Test
1756,GM Turner,1969-1983,41,1,12,5,0,0,0,2.50,0,0,0,42,0,Newzealand,Test
1757,RG Twose,1995-1999,16,6,211,130,3,2/50,43.33,3.69,70.3,0,0,5,0,Newzealand,Test
1758,RH Vance,1988-1989,4,0,0,0,0,0,0,0,0,0,0,0,0,Newzealand,Test
1759,CFK van Wyk,2012-2012,9,0,0,0,0,0,0,0,0,0,0,23,1,Newzealand,Test
1760,JTC Vaughan,1992-1997,6,8,1040,450,11,5/75,40.90,2.59,94.5,0,0,4,0,Newzealand,Test
1761,DL Vettori,1997-2014,112,185,28652,12330,361,12/149,34.15,2.58,79.3,20,3,58,0,Newzealand,Test
1762,L Vincent,2001-2007,23,1,6,2,0,0,0,2.00,0,0,0,19,0,Newzealand,Test
1763,GE Vivian,1965-1972,5,6,198,107,1,1/51,107.00,3.24,198.0,0,0,3,0,Newzealand,Test
1764,HG Vivian,1931-1937,7,10,1311,633,17,4/73,37.23,2.89,77.1,0,0,4,0,Newzealand,Test
